1,0.325,0.51,0.727,1,1.376,1.963,3.078,6.314,12.705,31.816,63.639,318.2,636.18
2,0.289,0.445,0.617,0.816,1.061,1.386,1.886,2.92,4.303,6.964,9.925,22.401,31.579
3,0.277,0.424,0.584,0.765,0.978,1.25,1.638,2.353,3.183,4.541,5.842,10.216,12.954
4,0.271,0.414,0.569,0.741,0.941,1.19,1.533,2.132,2.776,3.748,4.604,6.897,8.61
5,0.267,0.408,0.559,0.727,0.92,1.156,1.476,2.015,2.571,3.365,4.032,5.895,6.88
6,0.265,0.404,0.553,0.718,0.906,1.134,1.44,1.943,2.447,3.143,3.708,5.208,5.961
7,0.263,0.402,0.549,0.711,0.896,1.119,1.415,1.895,2.365,2.998,3.5,4.785,5.408
8,0.262,0.399,0.546,0.706,0.889,1.108,1.397,1.86,2.306,2.896,3.356,4.51,5.041
9,0.261,0.398,0.543,0.703,0.883,1.1,1.383,1.833,2.262,2.821,3.25,4.304,4.781
10,0.26,0.397,0.542,0.7,0.879,1.093,1.372,1.812,2.228,2.764,3.169,4.149,4.605
11,0.26,0.396,0.54,0.697,0.876,1.088,1.363,1.796,2.201,2.718,3.106,4.029,4.452
12,0.259,0.395,0.539,0.695,0.873,1.083,1.356,1.782,2.179,2.681,3.055,3.933,4.329
13,0.259,0.394,0.538,0.694,0.87,1.079,1.35,1.771,2.16,2.65,3.012,3.854,4.23
14,0.258,0.393,0.537,0.692,0.868,1.076,1.345,1.761,2.145,2.624,2.977,3.789,4.148
15,0.258,0.393,0.536,0.691,0.866,1.074,1.341,1.753,2.131,2.602,2.947,3.734,4.079
16,0.258,0.392,0.535,0.69,0.865,1.071,1.337,1.746,2.12,2.583,2.921,3.688,4.021
17,0.257,0.392,0.534,0.689,0.863,1.069,1.333,1.74,2.11,2.567,2.898,3.647,3.97
18,0.257,0.392,0.534,0.688,0.862,1.067,1.33,1.734,2.101,2.552,2.878,3.611,3.926
19,0.257,0.391,0.533,0.688,0.861,1.066,1.328,1.729,2.093,2.539,2.861,3.58,3.887
20,0.257,0.391,0.533,0.687,0.86,1.064,1.325,1.725,2.086,2.528,2.845,3.553,3.853
21,0.257,0.391,0.532,0.686,0.859,1.063,1.323,1.721,2.08,2.518,2.831,3.528,3.822
22,0.256,0.39,0.532,0.686,0.858,1.061,1.321,1.717,2.074,2.508,2.819,3.506,3.795
23,0.256,0.39,0.532,0.685,0.858,1.06,1.319,1.714,2.069,2.5,2.807,3.486,3.77
24,0.256,0.39,0.531,0.685,0.857,1.059,1.318,1.711,2.064,2.492,2.797,3.467,3.748
25,0.256,0.39,0.531,0.684,0.856,1.058,1.316,1.708,2.06,2.485,2.787,3.451,3.727
26,0.256,0.39,0.531,0.684,0.856,1.058,1.315,1.706,2.056,2.479,2.779,3.435,3.708
27,0.256,0.389,0.531,0.684,0.855,1.057,1.314,1.703,2.052,2.473,2.771,3.421,3.691
28,0.256,0.389,0.53,0.683,0.855,1.056,1.313,1.701,2.048,2.467,2.763,3.409,3.675
29,0.256,0.389,0.53,0.683,0.854,1.055,1.311,1.699,2.045,2.462,2.756,3.397,3.661
30,0.256,0.389,0.53,0.683,0.854,1.055,1.31,1.697,2.042,2.457,2.75,3.385,3.647
35,0.255,0.388,0.529,0.682,0.852,1.052,1.306,1.69,2.03,2.438,2.724,3.34,3.592
40,0.255,0.388,0.529,0.681,0.851,1.05,1.303,1.684,2.021,2.423,2.704,3.307,3.552
60,0.254,0.387,0.527,0.679,0.848,1.045,1.296,1.671,2,2.39,2.66,3.232,3.461
120,0.254,0.386,0.526,0.677,0.845,1.041,1.289,1.658,1.98,2.358,2.617,3.16,3.374
999,0.253,0.385,0.525,0.675,0.842,1.037,1.282,1.645,1.96,2.326,2.576,3.291,3.3
